"state","county","tract","tract_name","pop_unweighted","pop_sex","pop_race","pop_ethnicity","sex_male","sex_female","race_white","race_black","race_american_indian","race_asian","race_native_hawaiian","race_hispanic","age_under18","age_19_29","age_30_39","age_40plus"
"26","099","224500","Census Tract 2245, Macomb County, Michigan",4027,4027,4027,4027,0.42885522721629,0.57114477278371,0.915073255525205,0.0789669729327042,0.000744971442761361,0.0129128383411969,0,0,0.178793146262727,0.157437298236901,0.139061335982121,0.524708219518252
"26","099","224600","Census Tract 2246, Macomb County, Michigan",6175,6175,6175,6175,0.54753036437247,0.45246963562753,0.847773279352227,0.122267206477733,0.00550607287449393,0.0244534412955466,0,0.0390283400809717,0.205506072874494,0.229473684210526,0.150121457489879,0.414898785425101
"26","099","225100","Census Tract 2251, Macomb County, Michigan",3334,3334,3334,3334,0.495200959808038,0.504799040191962,0.973005398920216,0.0371925614877025,0.00329934013197361,0.0287942411517696,0,0.00359928014397121,0.241151769646071,0.140971805638872,0.095380923815237,0.52249550089982
"26","099","225200","Census Tract 2252, Macomb County, Michigan",7007,7007,7007,7007,0.491223062651634,0.508776937348366,0.929641786784644,0.0137005851291566,0.0178393035535893,0.0512344798059084,0,0.0510917653774797,0.232767232767233,0.150135578707007,0.111745397459683,0.505351791066077
"26","099","225300","Census Tract 2253, Macomb County, Michigan",4719,4719,4719,4719,0.5092180546726,0.4907819453274,0.965034965034965,0.0152574698029243,0,0.013986013986014,0,0.0300911210002119,0.161686798050434,0.12142403051494,0.100021190930282,0.616867980504344
"26","099","225401","Census Tract 2254.01, Macomb County, Michigan",4983,4983,4983,4983,0.431266305438491,0.568733694561509,0.949227373068433,0.00100341159943809,0.00742524583584186,0.0507726269315673,0,0.0168573148705599,0.16676700782661,0.0985350190648204,0.104956853301224,0.629741119807345
"26","099","225402","Census Tract 2254.02, Macomb County, Michigan",3005,3005,3005,3005,0.467221297836938,0.532778702163062,0.969384359400998,0,0.0183028286189684,0.0219633943427621,0,0.0166389351081531,0.20432612312812,0.0935108153078203,0.0775374376039933,0.624625623960067
"26","099","225500","Census Tract 2255, Macomb County, Michigan",5087,5087,5087,5087,0.470021623746806,0.529978376253194,0.950461961863574,0.00805976017298997,0,0.0434440731275801,0,0.00275211322980145,0.178297621387851,0.148417534892864,0.102417928051897,0.570866915667387
"26","099","225600","Census Tract 2256, Macomb County, Michigan",4569,4569,4569,4569,0.437075946596629,0.562924053403371,0.84657474283213,0.128912234624644,0.0129131100897352,0.0490260450864522,0,0.0380827314510834,0.174436419347778,0.225432260888597,0.148172466622893,0.451958853140731
"26","099","225701","Census Tract 2257.01, Macomb County, Michigan",6203,6203,6203,6203,0.484604223762695,0.515395776237304,0.675318394325326,0.114299532484282,0.00419152023214574,0.239239077865549,0.0120909237465742,0.0417539900048364,0.219732387554409,0.297759148798968,0.121392874415605,0.361115589231017
"26","099","225702","Census Tract 2257.02, Macomb County, Michigan",1445,1445,1445,1445,0.499653979238754,0.500346020761246,0.95363321799308,0.00899653979238754,0.0325259515570934,0.029757785467128,0.0027681660899654,0.0325259515570934,0.172318339100346,0.154325259515571,0.105190311418685,0.568166089965398
"26","099","225800","Census Tract 2258, Macomb County, Michigan",7157,7157,7157,7157,0.51040938940897,0.48959061059103,0.881095431046528,0.0184434819058265,0.000698616738857063,0.13455358390387,0.00516976386754227,0.0194215453402264,0.241441944949001,0.106050020958502,0.132737180382842,0.519770853709655
"26","099","225900","Census Tract 2259, Macomb County, Michigan",5169,5169,5169,5169,0.456181079512478,0.543818920487522,0.969239698200813,0.0282453085703231,0.00619075256335848,0.0174114915844457,0,0.0127684271619269,0.209131360030954,0.126716966531244,0.114142000386922,0.55000967305088
"26","099","226101","Census Tract 2261.01, Macomb County, Michigan",3490,3490,3490,3490,0.521203438395415,0.478796561604585,0.984240687679083,0,0,0.0510028653295129,0,0.0103151862464183,0.269340974212034,0.0833810888252149,0.0527220630372493,0.594555873925501
"26","099","226102","Census Tract 2261.02, Macomb County, Michigan",4535,4535,4535,4535,0.486438809261301,0.513561190738699,0.960529217199559,0.00264608599779493,0,0.049393605292172,0,0.00970231532524807,0.233958103638368,0.109151047409041,0.115104740904079,0.541786108048512
"26","099","226400","Census Tract 2264, Macomb County, Michigan",2676,2676,2676,2676,0.52727952167414,0.47272047832586,0.959641255605381,0,0,0.0437219730941704,0.0250373692077728,0.0186846038863976,0.207399103139013,0.115470852017937,0.085949177877429,0.59118086696562
"26","099","226700","Census Tract 2267, Macomb County, Michigan",5004,5004,5004,5004,0.446043165467626,0.553956834532374,0.934252597921663,0.047761790567546,0.000399680255795364,0.0591526778577138,0.00239808153477218,0.031374900079936,0.125699440447642,0.0925259792166267,0.0811350919264588,0.700639488409272
"26","099","227000","Census Tract 2270, Macomb County, Michigan",6941,6941,6941,6941,0.442299380492724,0.557700619507276,0.935600057628584,0.0204581472410316,0,0.0502809393459156,0,0.0119579311338424,0.196657542140902,0.111223166690679,0.0652643711280795,0.62685492004034
